,image_id,annotation
0,n01930112_19568.JPEG,"nematode, nematode worm, roundworm"
1,n03733281_29214.JPEG,"maze, labyrinth"
2,n07695742_5848.JPEG,pretzel
3,COCO_train2014_000000420713.jpg,"sandwich, window, hot dog, scissors, apple, couch"
4,COCO_train2014_000000488558.jpg,"mouse, clock, window, plate, remote, orange"
5,n01917289_1429.JPEG,brain coral
6,n02108551_26574.JPEG,Tibetan mastiff
7,COCO_train2014_000000029114.jpg,"bicycle, donut, window"
8,n02111277_28582.JPEG,"Newfoundland, Newfoundland dog"
9,concert5.jpg,concert
10,COCO_train2014_000000539340.jpg,hair drier
11,COCO_train2014_000000176728.jpg,vase
12,garbagedump3.jpg,garbagedump
13,fabricstore1.jpg,fabricstore
14,track3.jpg,track
15,COCO_train2014_000000531657.jpg,"street sign, motorcycle"
16,COCO_train2014_000000032271.jpg,hat
17,n04099969_6395.JPEG,"rocking chair, rocker"
18,COCO_train2014_000000285450.jpg,refrigerator
19,COCO_train2014_000000211198.jpg,"bicycle, surfboard"
20,COCO_train2014_000000431764.jpg,"bicycle, truck"
21,n02747177_3947.JPEG,"ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin"
22,COCO_train2014_000000323936.jpg,cat
23,church6.jpg,church
24,n04371430_12487.JPEG,"swimming trunks, bathing trunks"
25,n01914609_785.JPEG,"sea anemone, anemone"
26,COCO_train2014_000000442793.jpg,giraffe
27,n02655020_1972.JPEG,"puffer, pufferfish, blowfish, globefish"
28,n04286575_5757.JPEG,"spotlight, spot"
29,COCO_train2014_000000325346.jpg,cow
30,rep_COCO_train2014_000000113449.jpg,"bicycle, tennis racket"
31,n02966193_63.JPEG,"carousel, carrousel, merry-go-round, roundabout, whirligig"
32,rep_n01641577_1229.JPEG,rep_n01641577_
33,n02443114_11782.JPEG,"polecat, fitch, foulmart, foumart, Mustela putorius"
34,elevatorOutside2.jpg,elevatorOutside
35,COCO_train2014_000000271568.jpg,zebra
36,homegarage4.jpg,homegarage
37,n02948072_4353.JPEG,"candle, taper, wax light"
38,n02219486_30442.JPEG,"ant, emmet, pismire"
39,COCO_train2014_000000455486.jpg,"bicycle, suitcase"
40,COCO_train2014_000000042861.jpg,"cat, bicycle, vase, sheep"
41,n03249569_23070.JPEG,"drum, membranophone, tympan"
42,coralreef3.jpg,coralreef
43,n02096585_8512.JPEG,"Boston bull, Boston terrier"
44,COCO_train2014_000000273559.jpg,"tie, bicycle, bus, boat"
45,n03857828_46491.JPEG,"oscilloscope, scope, cathode-ray oscilloscope, CRO"
46,n02510455_1670.JPEG,"giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca"
47,COCO_train2014_000000307475.jpg,"baseball glove, bicycle, kite, skateboard"
48,n03594945_19394.JPEG,"jeep, landrover"
49,COCO_train2014_000000136338.jpg,street sign
50,n01917289_1562.JPEG,brain coral
51,livingroom4.jpg,livingroom
52,COCO_train2014_000000048201.jpg,elephant
53,COCO_train2014_000000319611.jpg,"cat, dog"
54,fireplace3.jpg,fireplace
55,n01694178_1343.JPEG,"African chameleon, Chamaeleo chamaeleon"
56,savanna4.jpg,savanna
57,rep_COCO_train2014_000000191734.jpg,"airplane, bicycle"
58,chemicalplant1.jpg,chemicalplant
59,COCO_train2014_000000035927.jpg,cat
60,n02457408_8048.JPEG,"three-toed sloth, ai, Bradypus tridactylus"
61,COCO_train2014_000000395740.jpg,"shoe, bicycle, couch"
62,rep_COCO_train2014_000000116603.jpg,"spoon, broccoli"
63,n03763968_3541.JPEG,military uniform
64,nailsalon2.jpg,nailsalon
65,n03866082_8143.JPEG,overskirt
66,n01689811_365.JPEG,alligator lizard
67,COCO_train2014_000000001496.jpg,street sign
68,COCO_train2014_000000425712.jpg,"microwave, clock, mouse, remote"
69,COCO_train2014_000000201246.jpg,bus
70,doctor1.jpg,doctor
